date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-06,1.0,1.0,,,0.196,0.196,,,,2.0,2.0,0.0,0.0,,,,,,,,
2020-03-07,1.0,0.0,,,0.196,0.0,,,,5.0,7.0,0.001,0.001,,,,,,,,
2020-03-08,5.0,4.0,,,0.982,0.785,,,,3.0,10.0,0.002,0.001,,,,,,,,
2020-03-09,9.0,4.0,,,1.767,0.785,,,,2.0,12.0,0.002,0.0,,,,,,,,
2020-03-10,9.0,0.0,,,1.767,0.0,,,,1.0,13.0,0.003,0.0,,,,,,,,
2020-03-11,13.0,4.0,,,2.552,0.785,,,,9.0,22.0,0.004,0.002,,,,,,,,
2020-03-12,22.0,9.0,,,4.319,1.767,,,,89.0,111.0,0.022,0.017,0.207,4.8,,,,,,
2020-03-13,23.0,1.0,,,4.515,0.196,,,,86.0,197.0,0.039,0.017,0.123,8.1,,,,,,
2020-03-14,26.0,3.0,,,5.104,0.589,,,,127.0,324.0,0.064,0.025,0.063,15.9,,,,,,
2020-03-15,27.0,1.0,,,5.3,0.196,,,,43.0,367.0,0.072,0.008,0.07,14.3,,,,,,
2020-03-16,35.0,8.0,,,6.871,1.57,,,,171.0,538.0,0.106,0.034,0.055,18.2,,,,,,
2020-03-17,41.0,6.0,,,8.049,1.178,,,,114.0,652.0,0.128,0.022,0.058,17.2,,,,,,
2020-03-18,50.0,9.0,,,9.815,1.767,,,,154.0,806.0,0.158,0.03,0.06,16.7,,,,,,
2020-03-19,69.0,19.0,1.0,1.0,13.545,3.73,0.196,0.196,,114.0,920.0,0.181,0.022,0.079,12.7,,,,,,
2020-03-20,89.0,20.0,1.0,0.0,17.471,3.926,0.196,0.0,,121.0,1041.0,0.204,0.024,0.103,9.7,,,,,,
2020-03-21,117.0,28.0,2.0,1.0,22.968,5.497,0.393,0.196,,148.0,1189.0,0.233,0.029,0.104,9.6,,,,,,
2020-03-22,134.0,17.0,2.0,0.0,26.305,3.337,0.393,0.0,1.18,227.0,1416.0,0.278,0.045,0.094,10.6,,,,,,
2020-03-23,158.0,24.0,2.0,0.0,31.016,4.711,0.393,0.0,1.18,157.0,1573.0,0.309,0.031,0.113,8.8,,,,,,
2020-03-24,177.0,19.0,2.0,0.0,34.746,3.73,0.393,0.0,1.17,165.0,1738.0,0.341,0.032,0.117,8.5,,,,,,
2020-03-25,201.0,24.0,2.0,0.0,39.457,4.711,0.393,0.0,1.16,29.0,1767.0,0.347,0.006,0.137,7.3,,,,,,
2020-03-26,231.0,30.0,2.0,0.0,45.346,5.889,0.393,0.0,1.14,677.0,2444.0,0.48,0.133,0.094,10.6,,,,,,
2020-03-27,263.0,32.0,2.0,0.0,51.628,6.282,0.393,0.0,1.13,487.0,2931.0,0.575,0.096,0.079,12.7,,,,,,
2020-03-28,295.0,32.0,2.0,0.0,57.91,6.282,0.393,0.0,1.11,158.0,3089.0,0.606,0.031,0.094,10.6,,,,,,
2020-03-29,314.0,19.0,2.0,0.0,61.64,3.73,0.393,0.0,1.08,222.0,3311.0,0.65,0.044,0.095,10.5,,,,,,
2020-03-30,330.0,16.0,2.0,0.0,64.781,3.141,0.393,0.0,1.06,263.0,3574.0,0.702,0.052,0.086,11.6,,,,,,
2020-03-31,347.0,17.0,2.0,0.0,68.118,3.337,0.393,0.0,1.04,153.0,3727.0,0.732,0.03,0.085,11.8,,,,,,
2020-04-01,375.0,28.0,2.0,0.0,73.614,5.497,0.393,0.0,1.02,373.0,4100.0,0.805,0.073,0.075,13.3,,,,,,
2020-04-02,396.0,21.0,2.0,0.0,77.737,4.122,0.393,0.0,1.0,132.0,4232.0,0.831,0.026,0.092,10.9,,,,,,
